country_name,income_id,gdp_per_capita($),composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
Liberia,LIC,"1,333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,3512932,NA,NA,NA,NA,NA,NA,564466.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libya,UMC,"8,480",70.1,3.1,4.3,3.8,5.5,7.5,NA,2.5,NA,No,Yes,No,NA,NA,6193501,NA,3641150,70000,NA,NA,NA,2147596.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Lucia,UMC,"14,030",45,7,5,11,10,22,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,177206,NA,NA,1600,2732,NA,49.63,77616.228,NA,NA,NA,NA,NA,96.8,100,NA,NA,NA,NA,NA,NA,0.1,96.8,NA,NA,NA,2.6,NA,NA,0.5,NA,Disposal site
Liechtenstein,HIC,"45,727",37.6,5,12.5,9.1,30.3,5.4,NA,NA,NA,NA,Yes,Yes,No,NA,36545,2612,513728,293,1204,NA,127,32382,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.6,NA,35.4,NA,NA
Sri Lanka,LMC,"12,287",62,2,3,13,7,7,NA,6,NA,Yes,Yes,Yes,No,Yes,21203000,NA,65700,72.5,NA,53000,9855,2631650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,85,NA,12.79,NA,NA,NA,Databases
Lesotho,LMC,"1,979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965662,NA,NA,1800,NA,NA,NA,73457,NA,0.97,NA,NA,NA,4.22,20,NA,NA,11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,HIC,"37,278",40.4,8.65,2.75,44.05,10.05,10.15,NA,0.6,NA,No,Yes,Yes,Yes,NA,2786844,551038,3011590,82691,165477,NA,70124,1315390.375,NA,NA,90,NA,NA,NA,NA,98.69,NA,NA,96,NA,NA,10.15,NA,11.54,54,NA,NA,22.92,NA,1.39,NA,NA
Luxembourg,HIC,"114,323",30,4,2,27,19,18,NA,NA,NA,Yes,Yes,Yes,No,NA,619896,95427,6272673,7398,237180,NA,47825,490337.75,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,19.66,NA,33.99,17.7,NA,NA,28.37,NA,0.28,NA,NA
Latvia,HIC,"30,982",46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,NA,NA,Yes,Yes,Yes,Yes,1912789,105480,671423,25071,104142,NA,65624,839714.375,NA,NA,NA,NA,NA,NA,NA,84.36,NA,NA,NA,NA,NA,5.48,NA,NA,57.64,NA,NA,21.23,NA,15.65,NA,NA
"Macao SAR, China",HIC,"117,336",3.1,3.3,1.7,3.1,58.7,7.9,NA,22.3,NA,Yes,Yes,Yes,Yes,Yes,612167,NA,52000,11000,3118,NA,11493,377942,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,80,NA,NA
